researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
RAMON ANTONIO MOSQUERA MENA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",TURBO,OCCIDENTE,mLUbfo0AAAAJ,2,Integrante,; 4; ; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000275689,GRUPO DE INVESTIGACION CIAB; CAZAO,2011-08-01; 2014-05-01, Actual,Doctorado,Investigador Asociado (I),6; 2,13; 4,0; 0,0; 0,0; 0,14; 3
JAIME LUIS FORTICH FORTICH,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",CARTAGENA (BOLIVAR),CARIBE,NA,NA,Integrante,10; 10; 10; 10; 10; 10; 10; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001364685,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS; GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS,2017-02-01; 2018-02-01, 2019/12,Maestría/Magister,Sin clasificar,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0
JORGE ANTONIO GIRON MENDIETA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000024610,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2016-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,4
JORGE ELIECER HERNANDEZ PEREZ,VICERRECTORIA ACADEMICA Y DE INVESTIGACION,* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001391391,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
JULIETH CRISTINA MENDOZA FORERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE; ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",* SEDE NACIONAL JOSE CELESTINO MUTIS; FUSAGASUGA,SEDE NACIONAL JOSE CELESTINO MUTIS; CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000492698,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Maestría/Magister,Sin clasificar,0,2,0,0,0,6
MAIKEL SUAREZ RIVERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000182862,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2018-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),0,0,0,0,0,0
MYRIAM JANETH ORTEGA TORRES,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001457692,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),2,4,1,0,0,3
OMAR ENRIQUE PELAEZ MARTINEZ,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",GIRARDOT,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001411771,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2019-04-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
OMAR ENRIQUE TRUJILLO ROMERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",VALLEDUPAR,CARIBE,NA,NA,Integrante,10; 10; 10; 10; 10; 10; 10; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001411123,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS; GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS,2017-02-01; 2017-02-01, 2019/12,Maestría/Magister,Sin clasificar,0; 1; 0; 1,0; 4; 0; 4,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 7; 0; 7
RUTH AMANDA ACERO CAMELO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",FACATATIVA,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001359299,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2020-02-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
YOLVI PRADA MILLAN,VICERRECTORIA ACADEMICA Y DE INVESTIGACION,* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000027994,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2016-02-01, Actual,Maestría/Magister,Sin clasificar,2,4,2,0,0,4
ELIECER PINEDA BALLESTEROS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BUCARAMANGA,CENTRO ORIENTE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000337480,GUANE,2004-08-01, Actual,Maestría/Magister,Investigador Asociado (I),29,1,1,6,0,1
DIANA MARCELA CARDONA ROMAN,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",ACACIAS,AMAZONAS Y ORINOQUIA,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000685666,GUANE,2019-03-01, Actual,Doctorado,Investigador Asociado (I),0,0,0,0,0,2
FREDDY REYNALDO TELLEZ ACUNA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BUCARAMANGA,CENTRO ORIENTE,NA,NA,Integrante,8; 0; 8; 0; 8; 0; 8; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000719463,GUANE; GIAUNAD; GUANE; GIAUNAD,2009-01-01; 2010-06-01, Actual,Maestría/Magister,Sin clasificar,13; 0; 13; 0,1; 0; 1; 0,0; 0; 0; 0,6; 0; 6; 0,0; 0; 0; 0,0; 0; 0; 0
MARIO LUIS AVILA PEREZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BARRANQUILLA,CARIBE,NA,NA,Integrante,7,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001425058,GUANE,2020-07-01, Actual,Especialización,Sin clasificar,0,0,0,2,0,1
ALVARO ARAUJO GUERRA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",VALLEDUPAR,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000444740,ZOOBIOS,2005-03-01, Actual,Maestría/Magister,Sin clasificar,13,4,2,0,0,25
ALEJANDRA MARGARITA OLMEDO MEZA,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",BARRANQUILLA,CARIBE,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001608971,ZOOBIOS,2017-06-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,5
ALEXANDER SALAZAR MONTOYA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",VALLEDUPAR,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000531030,ZOOBIOS,2018-01-01, Actual,Especialización,Sin clasificar,0,3,0,0,0,8
CINDY LORENA GARCIA PINTO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",SANTA MARTA,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000328090,ZOOBIOS,2018-02-01, Actual,Maestría/Magister,Sin clasificar,1,0,0,0,0,0
FANNY MATILDE PINZON CANDELARIO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",SANTA MARTA,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001161423,ZOOBIOS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,1,0,0,4
LIZ GIOMAIRA MONTENEGRO LOSADA,VICERRECTORIA ACADEMICA Y DE INVESTIGACION,NEIVA,SUR,NA,NA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000578738,GRUPO DE INVESTIGACION PASOS DE LIBERTAD,2016-09-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
RAFAEL ALBERTO OVALLE CASTRO,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",VALLEDUPAR,CARIBE,NA,NA,Integrante,16,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000745669,ZOOBIOS,2006-07-01, 2008/12,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
MARIA ELENA RIVAS ARENAS,ESCUELA DE CIENCIAS DE LA EDUCACION,IBAGUE,SUR,NA,NA,Integrante,8; 0; 8; 0; 8; 0; 8; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000014036,GRUPO DE INVESTIGACION PASOS DE LIBERTAD; UMBRAL; GRUPO DE INVESTIGACION PASOS DE LIBERTAD; UMBRAL,2017-02-01; 2019-12-01, Actual,Doctorado,Sin clasificar,0; 0; 0; 0,1; 0; 1; 0,1; 0; 1; 0,0; 0; 0; 0,0; 0; 0; 0,21; 0; 21; 0
RAUL DAVID PERALTA MENDOZA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",COROZAL,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000092342,ZOOBIOS,2018-02-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
MARIA ELVA SANCHEZ BARRERA,"ESCUELA DE CIENCIAS SOCIALES, ARTES Y HUMANIDADES",IBAGUE,SUR,NA,NA,Integrante,6; 10; 6; 10; 6; 10; 6; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001412823,"GRUPO DE INVESTIGACION PASOS DE LIBERTAD; GRUPO DE INVESTIGACION DESARROLLO SOCIOCULTURAL, AFECTO Y COGNICION; GRUPO DE INVESTIGACION PASOS DE LIBERTAD; GRUPO DE INVESTIGACION DESARROLLO SOCIOCULTURAL, AFECTO Y COGNICION",2017-01-01; 2011-02-01, Actual,Especialización,Sin clasificar,0; 0; 0; 0,2; 0; 2; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,7; 7; 7; 7
YANETH DE JESUS GALINDO MORA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",SAHAGUN,CARIBE,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001403188,ZOOBIOS,2017-06-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,1
DAMILETH DEARMAS DUARTE,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",VALLEDUPAR,CARIBE,NA,NA,Integrante,10; 4; 0; 10; 4; 0; 10; 4; 0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001597960,"ZOOBIOS; GRUPO DE ESTUDIOS AMBIENTALES APLICADOS - GEAA; GRUPO DE CONSERVACION, BIOPROSPECCION Y DESARROLLO SOSTENIBLE",2018-01-01; 2014-07-01; 2017-01-01, Actual,Maestría/Magister,Sin clasificar,0; 1; 0,0; 0; 0,0; 0; 0,0; 0; 0,0; 0; 0,1; 0; 0
JAIME LUIS HERNANDEZ BURGOS,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",SAHAGUN,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001509024,ZOOBIOS,2021-01-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
HAROLD ESNEIDER PEREZ WALTERO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001396016,GIDESTEC,2011-09-01, Actual,Maestría/Magister,Sin clasificar,6,2,0,2,0,0
GLORIA ALEJANDRA RUBIO VANEGAS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001514080,GIDESTEC,2013-05-01, Actual,Especialización,Sin clasificar,0,6,1,5,0,5
ADRIANA NOGUERA TORRES,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",YOPAL,AMAZONAS Y ORINOQUIA,NA,NA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000681270,GIDESTEC,2017-03-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,3,0,2
ALEXANDER FLOREZ MARTINEZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",CUCUTA,CENTRO ORIENTE,NA,NA,Integrante,6; 2; 6; 2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005656,GIDESTEC; GIAUNAD,2014-01-01; 2018-01-01, Actual,Maestría/Magister,Sin clasificar,3; 1,0; 0,0; 0,3; 2,0; 0,1; 0
ANGEL ALEJANDRO RODRIGUEZ AYA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",ACACIAS,AMAZONAS Y ORINOQUIA,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000893340,GIDESTEC,2015-06-01, Actual,Maestría/Magister,Investigador Asociado (I),3,10,0,14,0,9
ANGELA MARIA GONZALEZ AMARILLO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",TUNJA,CENTRO BOYACA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001366452,GIDESTEC,2017-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),9,5,2,8,0,3
CARLOS ALBERTO ALVAREZ HENAO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",MEDELLIN,OCCIDENTE,J_MPtfUAAAAJ,3,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000397636,GIDESTEC,2018-02-01, 2019/5,Doctorado,Sin clasificar,0,0,0,0,0,0
CARLOS MAURICIO SALAS MOLINARES,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",SANTA MARTA,CARIBE,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000148982,GIDESTEC,2019-03-01, 2019/5,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,0
CARMEN EMILIA RUBIO VANEGAS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001514993,GIDESTEC,2013-05-01, Actual,Maestría/Magister,Sin clasificar,0,6,1,5,0,10
DANIEL GUZMAN AREVALO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000944041,GIDESTEC,2013-05-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,14
DAVID LOPEZ PANTOJA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",PASTO,CENTRO SUR,NA,NA,Integrante,8; 10; 8; 10; 8; 10; 8; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001615291,GIDESTEC; DAVINCI; GIDESTEC; DAVINCI,2019-01-01; 2020-02-01, 2019/5,Maestría/Magister,Sin clasificar,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0
DIANA KATHERINE TRILLEROS MOICA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001511412,GIDESTEC,2012-02-01, 2014/1,Especialización,Sin clasificar,0,0,0,0,0,0
EDWIN DORANCE GARZON CARRILLO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001682001,GIDESTEC,2020-01-01, Actual,Maestría/Magister,Sin clasificar,1,1,0,2,0,0
ELBER FERNANDO CAMELO QUINTERO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000943592,GIDESTEC,2013-01-01, Actual,Maestría/Magister,Sin clasificar,1,1,0,0,0,8
ERIK MIGUEL BARRIOS MONTES,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",COROZAL,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001530456,GIDESTEC,2018-01-01, Actual,Maestría/Magister,Sin clasificar,4,0,0,1,0,0
FAVER ADRIAN AMOROCHO SEPULVEDA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BUCARAMANGA,CENTRO ORIENTE,NA,NA,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000957089,GIDESTEC,2019-06-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,1,0,1
FERNANDO JOSE DIAZ MARTINEZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",COROZAL,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000017920,GIDESTEC,2018-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,1,0,2
FERNANDO LUIS CARRASCAL PORRAS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",COROZAL,CARIBE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001740350,GIDESTEC,2019-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
FRANCISCO JAVIER HILARION NOVOA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000091935,GIDESTEC,2018-01-01, Actual,Especialización,Sin clasificar,1,1,0,1,0,3
FRANKLIN LIZCANO CELIS,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",FLORENCIA,SUR,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001065602,GIDESTEC,2019-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,1
IVAN CAMILO NIETO SANCHEZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001416944,GIDESTEC,2017-01-01, Actual,Maestría/Magister,Sin clasificar,2,0,0,0,0,1
IVAN GIOVANNI QUESADA BONILLA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",IBAGUE,SUR,NA,NA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000022686,GIDESTEC,2019-01-01, Actual,Maestría/Magister,Investigador Junior (IJ),0,4,0,0,0,0
JAIME HERNAN MONTENEGRO VASQUEZ,VICERRECTORIA ACADEMICA Y DE INVESTIGACION,* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000075007,GIDESTEC,2018-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
JAIRO LUIS GUTIERREZ TORRES,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,18,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001471569,GIDESTEC,2016-01-01, Actual,Maestría/Magister,Sin clasificar,1,1,0,6,0,2
JENNY TATIANA SANCHEZ OCHOA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",MEDELLIN,OCCIDENTE,-08uS_0AAAAJ,0,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000091057,GIDESTEC,2019-01-01, 2019/5,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
JESUS DAVID GONZALEZ LLORENTE,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001434281,GIDESTEC,2020-07-01, Actual,Doctorado,Investigador Junior (IJ),1,0,0,0,0,0
JESUS OMAR VARGAS FLOREZ,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",BARRANCABERMEJA,CENTRO ORIENTE,NA,NA,Integrante,5; 2; 5; 2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005655,GIDESTEC; GIAUNAD,2014-02-01; 2018-01-01, Actual,Especialización,Sin clasificar,3; 1,0; 0,0; 0,2; 3,0; 0,0; 0
NELLY CAMPOS RAMIREZ,VICERRECTORIA DE DESARROLLO REGIONAL,NEIVA,SUR,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000160145,GRUPO DE INVESTIGACION PASOS DE LIBERTAD,2018-04-01, Actual,Maestría/Magister,Sin clasificar,0,1,0,0,0,0
JOAN SEBASTIAN BUSTOS MIRANDA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",EJE CAFETERO (PEREIRA),OCCIDENTE,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001461834,GIDESTEC,2015-01-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,2
JOHN ALEJANDRO FIGUEREDO LUNA,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",ACACIAS,AMAZONAS Y ORINOQUIA,NA,NA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000684490,GIDESTEC,2015-06-01, Actual,Maestría/Magister,Sin clasificar,3,10,0,11,0,13
JOHN FREDDY QUINTERO TAMAYO,"ESCUELA DE CIENCIAS BASICAS, TECNOLOGIA E INGENIERIA",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001494321,GIDESTEC,2018-01-01, 2019/5,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
