researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
MARILU AVENDANO AVENDANO,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,0; 20; 0; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001074067,AMBIENTES DE ENSENANZA APRENDIZAJE DE LAS CIENCIAS BASICAS (AMECI); GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2014-03-01; 2018-01-01, Actual,Maestría/Magister,Sin clasificar,0; 0,0; 5,0; 1,0; 0,0; 0,6; 57
ORLANDO GONZALEZ BONILLA,VICERRECTORIA ACADEMICA Y DE INVESTIGACION; ESCUELA DE CIENCIAS DE LA EDUCACION,BUCARAMANGA; BUCARAMANGA,CENTRO ORIENTE; CENTRO ORIENTE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000397334,AMBIENTES DE ENSENANZA APRENDIZAJE DE LAS CIENCIAS BASICAS (AMECI),2019-01-01, Actual,Doctorado,Investigador Junior (IJ),0,0,0,0,0,0
ADOLFO ENRIQUE ALVEAR SARAVIA,"ESCUELA DE CIENCIAS SOCIALES, ARTES Y HUMANIDADES",CARTAGENA (BOLIVAR),CARIBE,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001359569,GRUPO DE INVESTIGACION CIBERCULTURA Y TERRITORIO,2011-11-01, Actual,Maestría/Magister,Sin clasificar,0,1,0,0,0,0
SILVIA MARIA ESPARZA OVIEDO,ESCUELA DE CIENCIAS DE LA EDUCACION,BUCARAMANGA,CENTRO ORIENTE,NA,NA,Integrante,7,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000010294,AMBIENTES DE ENSENANZA APRENDIZAJE DE LAS CIENCIAS BASICAS (AMECI),2019-02-01, Actual,Maestría/Magister,Sin clasificar,3,0,0,0,0,0
MARIA ERIKA NARVAEZ FERRIN,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",CALI,CENTRO SUR,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000017823,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2013-01-01, Actual,Doctorado,Sin clasificar,2,1,0,0,0,53
ALEJANDRA MARIN BETANCUR,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,1t4VGpoAAAAJ,0,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001483972,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2019-01-01, Actual,Maestría/Magister,Sin clasificar,0,4,0,0,0,2
ANDREA DEL PILAR BARRERA ORTEGON,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001074717,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2007-03-01, Actual,Maestría/Magister,Sin clasificar,0,2,0,0,0,1
ANGELA MAYELLIS MELO HIDALGO,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,3weGRf4AAAAJ,1,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001245236,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2019-01-01, Actual,Maestría/Magister,Sin clasificar,0,3,0,0,0,5
ARLEY HUMBERTO RODRIGUEZ TEJADA,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",MEDELLIN,OCCIDENTE,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001715423,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Especialización,Sin clasificar,0,1,0,0,0,2
AZUCENA MARIA GARCIA CRUZ,"ESCUELA DE CIENCIAS ADMINISTRATIVAS, CONTABLES, ECONOMICAS Y DE NEGOCIOS",EJE CAFETERO (PEREIRA),OCCIDENTE,nZeIkb4AAAAJ,1,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001625734,GRUPO DE INVESTIGACIONES Y ESTUDIOS PROSPECTIVOS Y ESTRATEGICOS (GIEPE),2020-01-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
