Investigador,institution,ciudad
Paul Esteban Pherez Perrony,"Vittia Group, S‹o Joaquim da Barra, Brazil",medellin
Paul Esteban Pherez Perrony,"Empresa de Pesquisa Agropecuria e Extensao Rural de Santa Catarina, S‹o Joaquim, Brazil",medellin
Paul Esteban Pherez Perrony,"Embrapa Meio Ambiente, Jaguariuna, Brazil",medellin
Paul Esteban Pherez Perrony,Universidade Federal de Santa Maria,medellin
Ramon Antonio Mosquera Mena,Universidad Nacional Abierta y a Distancia,turbo
Ramon Antonio Mosquera Mena,Universidad Catolica de vila,turbo
Ramon Antonio Mosquera Mena,Universidad Tecnologica del Choco,turbo
Ramon Antonio Mosquera Mena,Universidad Industrial de Santander,turbo
Claudia Lorena Betancur Murillo,Universidad de Caldas,dorada
Claudia Lorena Betancur Murillo,University of Alberta,dorada
Claudia Lorena Betancur Murillo,Universidad Nacional de Colombia,dorada
Yulian Sepulveda Casadiego,Universidad Nacional Abierta y a Distancia,dosquebradas
Yulian Sepulveda Casadiego,Alianza Bioversity  CIAT,dosquebradas
Yulian Sepulveda Casadiego,Universidad Industrial de Santander,dosquebradas
Yulian Sepulveda Casadiego,Universidade de Fortaleza,dosquebradas
Yulian Sepulveda Casadiego,University of Illinois at Urbana_Champaign,dosquebradas
Yulian Sepulveda Casadiego,Hospital Universitario Walter Cantdio,dosquebradas
Yulian Sepulveda Casadiego,Departamento de Ciencias Medicas da Universidade Federal do Cesar,dosquebradas
Martha Viviana Zuluaga Rojas,Universidad de Caldas (Colombia),dosquebradas
Martha Viviana Zuluaga Rojas,Universidad Nacional de Colombia,dosquebradas
Martha Viviana Zuluaga Rojas,Universidad Tecnol—gica de Pereira,dosquebradas
Martha Viviana Zuluaga Rojas,Universidad de Antioquia,dosquebradas
Martha Viviana Zuluaga Rojas,"Compania Nacional de Chocolates, Medellin, Colombia",dosquebradas
Martha Viviana Zuluaga Rojas,The Pennsylvania State University,dosquebradas
Martha Viviana Zuluaga Rojas,University de Strasbourg,dosquebradas
Martha Viviana Zuluaga Rojas,"Corporacion Colombiana de Investigacion Agropecuaria (Agrosavia), Process & Quality Cocoa Laboratory. ",dosquebradas
Martha Viviana Zuluaga Rojas,"Instituto Tecnologico Metropolitano, Medellin",dosquebradas
Martha Viviana Zuluaga Rojas,Universidad Antonio Narino,dosquebradas
Martha Viviana Zuluaga Rojas,"Yerkes National Primate Research Center, Atlanta.",dosquebradas
Martha Viviana Zuluaga Rojas,Universidad Nacional Abierta y a Distancia,dosquebradas
Martha Viviana Zuluaga Rojas,University of Limerick,dosquebradas
Martha Viviana Zuluaga Rojas,Pontificia Universidad Javeriana Bogota,dosquebradas
Martha Viviana Zuluaga Rojas,Universitat Politecnica de Catalunya,dosquebradas
Hugo Ocampo Cardenas,Universidad Nacional Abierta y a Distancia,dosquebradas
Manuel Francisco Polanco Puerta,Universidad Nacional Abierta y a Distancia,dosquebradas
Manuel Francisco Polanco Puerta,Universidad  de los Andes,dosquebradas
Manuel Francisco Polanco Puerta,Universidad de Manizales,dosquebradas
Angel Saul Diaz Tellez,Universidad del Atlantico,dosquebradas
Angel Saul Diaz Tellez,Universidad Catolica de Pereira,dosquebradas
Angel Saul Diaz Tellez,Universidad Pedagogica y Tecnologica de Colombia,dosquebradas
Astrid Sofia Suarez Barros,Universidad Nacional Abierta y a Distancia,dosquebradas
Martha Liliana Palomino Leiva,Universidad Nacional Abierta y a Distancia,dosquebradas
Martha Liliana Palomino Leiva,Universidad Industrial de Santander,dosquebradas
Juliana Andrea Pineda Zambrano,Universidad Antonio Narino,dosquebradas
Juliana Andrea Pineda Zambrano,Universidad del Valle,dosquebradas
Carlos Mario Duque Chaves,Universidad Nacional Abierta y a Distancia,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad de Cordoba,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad Nacional de Colombia,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad Nacional Abierta y a Distancia,dosquebradas
Jheimer Julian Sepulveda Lopez,Corporacion Universitaria del Meta,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad Antonio Narino,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad Politecnica de Cataluna,dosquebradas
Jheimer Julian Sepulveda Lopez,Universidad de Antioquia,dosquebradas
Laura Victoria Penaranda Gonzalez,Servicio Nacional de Aprendizaje SENA,dosquebradas
Jorge Enrique Arboleda Puerta,Universidad Nacional Abierta y a Distancia,dosquebradas
